"u(x,t)",x,t
1.2246467991473532e-16,-1.0,0.0
0.012566039883352836,-0.996,0.0
0.025130095443337813,-0.992,0.0
0.037690182669934534,-0.988,0.0
0.05024431817976966,-0.984,0.0
0.06279051952931358,-0.98,0.0
0.07532680552793304,-0.976,0.0
0.08785119655074315,-0.972,0.0
0.10036171485121498,-0.968,0.0
0.11285638487348187,-0.964,0.0
0.12533323356430454,-0.96,0.0
0.13779029068463847,-0.956,0.0
0.15022558912075712,-0.952,0.0
0.16263716519488378,-0.948,0.0
0.1750230589752763,-0.944,0.0
0.18738131458572502,-0.94,0.0
0.1997099805144075,-0.9359999999999999,0.0
0.2120071099220548,-0.9319999999999999,0.0
0.22427076094938142,-0.9279999999999999,0.0
0.2364989970237246,-0.924,0.0
0.24868988716485482,-0.92,0.0
0.26084150628989705,-0.916,0.0
0.27295193551732505,-0.912,0.0
0.28501926246997605,-0.908,0.0
0.2970415815770349,-0.904,0.0
0.3090169943749475,-0.9,0.0
0.3209436098072097,-0.896,0.0
0.3328195445229865,-0.892,0.0
0.34464292317451706,-0.888,0.0
0.3564118787132508,-0.884,0.0
0.36812455268467814,-0.88,0.0
0.3797790955218014,-0.876,0.0
0.39137366683720237,-0.872,0.0
0.40290643571366275,-0.868,0.0
0.4143755809932843,-0.864,0.0
0.4257792915650729,-0.86,0.0
0.4371157666509329,-0.856,0.0
0.4483832160900323,-0.852,0.0
0.459579860621488,-0.848,0.0
0.4707039321653328,-0.844,0.0
0.4817536741017156,-0.84,0.0
0.49272734154829156,-0.836,0.0
0.5036232016357609,-0.832,0.0
0.5144395337815066,-0.828,0.0
0.5251746299612956,-0.8240000000000001,0.0
0.5358267949789967,-0.8200000000000001,0.0
0.5463943467342692,-0.8160000000000001,0.0
0.5568756164881878,-0.812,0.0
0.5672689491267564,-0.808,0.0
0.5775727034222676,-0.804,0.0
0.5877852522924732,-0.8,0.0
0.5979049830575187,-0.796,0.0
0.6079302976946053,-0.792,0.0
0.6178596130903343,-0.788,0.0
0.6276913612907006,-0.784,0.0
0.6374239897486899,-0.78,0.0
0.6470559615694442,-0.776,0.0
0.6565857557529564,-0.772,0.0
0.6660118674342517,-0.768,0.0
0.6753328081210246,-0.764,0.0
0.6845471059286888,-0.76,0.0
0.6936533058128049,-0.756,0.0
0.7026499697988492,-0.752,0.0
0.7115356772092855,-0.748,0.0
0.720309024887907,-0.744,0.0
0.7289686274214114,-0.74,0.0
0.7375131173581739,-0.736,0.0
0.7459411454241822,-0.732,0.0
0.754251380736104,-0.728,0.0
0.7624425110114481,-0.724,0.0
0.7705132427757893,-0.72,0.0
0.7784623015670235,-0.716,0.0
0.786288432136619,-0.712,0.0
0.7939903986478355,-0.708,0.0
0.8015669848708769,-0.704,0.0
0.8090169943749475,-0.7,0.0
0.816339250717184,-0.696,0.0
0.8235325976284276,-0.692,0.0
0.8305958991958129,-0.688,0.0
0.8375280400421418,-0.6839999999999999,0.0
0.8443279255020152,-0.6799999999999999,0.0
0.850994481794692,-0.6759999999999999,0.0
0.8575266561936524,-0.6719999999999999,0.0
0.8639234171928356,-0.6679999999999999,0.0
0.8701837546695257,-0.6639999999999999,0.0
0.8763066800438637,-0.6599999999999999,0.0
0.8822912264349535,-0.6559999999999999,0.0
0.8881364488135447,-0.6519999999999999,0.0
0.8938414241512639,-0.648,0.0
0.8994052515663712,-0.644,0.0
0.9048270524660195,-0.64,0.0
0.9101059706849957,-0.636,0.0
0.9152411726209176,-0.632,0.0
0.9202318473658704,-0.628,0.0
0.925077206834458,-0.624,0.0
0.9297764858882515,-0.62,0.0
0.9343289424566121,-0.616,0.0
0.9387338576538742,-0.612,0.0
0.9429905358928645,-0.608,0.0
0.9470983049947443,-0.604,0.0
0.9510565162951536,-0.6,0.0
0.9548645447466431,-0.596,0.0
0.958521789017376,-0.592,0.0
0.9620276715860859,-0.588,0.0
0.965381638833274,-0.584,0.0
0.9685831611286311,-0.5800000000000001,0.0
0.9716317329146739,-0.5760000000000001,0.0
